City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,mpanda,-6.3655,31.0409,18.18,96,100,0.72,TZ,1738716498
118,grootfontein,-19.5667,18.1167,18.54,87,99,1.95,NA,1738716499
119,nizhnyaya poyma,56.1622,97.1933,-16.71,93,100,4.81,RU,1738716502
120,le vauclin,14.5452,-60.8388,26.03,73,40,4.12,MQ,1738716503
121,hotan,37.0997,79.9269,-2.32,41,100,1.37,CN,1738716157
122,berezovyy,51.6667,135.7,-16.36,94,100,3.96,RU,1738716158
123,vredendal,-31.6683,18.5012,16.07,95,8,2.38,ZA,1738716506
124,ushuaia,-54.8,-68.3,8.81,81,75,7.72,AR,1738716381
125,cabo san lucas,22.8909,-109.9124,25.17,35,0,5.66,MX,1738716472
126,chonchi,-42.6128,-73.8092,13.95,81,0,0.39,CL,1738716028
127,san rafael,-34.6177,-68.3301,24.46,30,98,3.46,AR,1738716231
128,lakatoro,-16.0999,167.4164,29.44,73,84,5.49,VU,1738716512
129,masterton,-40.9597,175.6575,24.44,26,3,2.84,NZ,1738716514
130,ushibukamachi,32.1906,130.0228,5.31,69,100,10.94,JP,1738716515
131,lebu,-37.6167,-73.65,14.94,79,6,1.41,CL,1738716516
132,hampton bays,40.869,-72.5176,1.03,58,0,5.14,US,1738716265
133,punta arenas,-53.15,-70.9167,11.06,66,0,11.32,CL,1738716518
134,fortaleza,-3.7227,-38.5247,29.07,79,75,6.17,BR,1738716311
135,patong,7.8961,98.2966,27.08,75,36,5.8,TH,1738716402
136,saint-leu,-21.15,55.2833,26.48,96,33,3.26,RE,1738716522
137,fada,7.25,4.0667,24.64,82,98,0.49,NG,1738716523
138,launceston,-41.45,147.1667,19.8,42,5,7.2,AU,1738716524
139,flying fish cove,-10.4217,105.6791,26.82,94,100,7.2,CX,1738716154
140,uturoa,-16.7333,-151.4333,28.21,69,26,4.01,PF,1738716527
141,dalton,34.7698,-84.9702,15.88,81,0,0.0,US,1738716528
142,whitehorse,60.7161,-135.0538,-14.39,81,75,1.03,CA,1738716529
143,ilulissat,69.2167,-51.1,-18.99,65,100,4.12,GL,1738716530
144,port mathurin,-19.6833,63.4167,26.95,80,2,4.01,MU,1738716532
145,mount pearl,47.5166,-52.7813,-2.7,83,20,11.83,CA,1738716079
146,mccook,40.2019,-100.6257,-5.97,63,100,3.09,US,1738716534
147,tazacorte,28.629,-17.9293,17.54,79,75,5.66,ES,1738716535
148,west island,-12.1568,96.8225,28.99,89,20,3.6,CC,1738716536
149,tarko-sale,64.9225,77.785,-24.31,100,97,2.72,RU,1738716538
150,sargatskoye,55.6101,73.4972,-3.33,97,100,2.37,RU,1738716539
151,nar'yan-mar,67.6713,53.087,-8.0,94,100,5.65,RU,1738715992
152,fale old settlement,-9.3852,-171.2468,28.74,67,8,5.82,TK,1738716541
153,inhambane,-23.865,35.3833,26.63,68,68,4.63,MZ,1738716170
